<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURUSD,5,20250331,112000,1.08272,1.08281,1.08268,1.08273,0,0
EURUSD,5,20250331,112500,1.08271,1.08278,1.0826,1.08268,0,0
EURUSD,5,20250331,113000,1.08263,1.08272,1.08253,1.08259,0,0
EURUSD,5,20250331,113500,1.08253,1.08271,1.08226,1.08238,0,0
EURUSD,5,20250331,114000,1.0824,1.08247,1.0822,1.08227,0,0
EURUSD,5,20250331,114500,1.08227,1.08237,1.08194,1.08196,0,0
EURUSD,5,20250331,115000,1.08186,1.082,1.08161,1.08162,0,0
EURUSD,5,20250331,115500,1.0816,1.08193,1.0815,1.08167,0,0
EURUSD,5,20250331,120000,1.0816,1.08187,1.08142,1.08167,0,0
EURUSD,5,20250331,120500,1.08168,1.08171,1.08107,1.08114,0,0
EURUSD,5,20250331,121000,1.08116,1.08117,1.08062,1.08085,0,0
EURUSD,5,20250331,121500,1.08074,1.08101,1.08066,1.08072,0,0
EURUSD,5,20250331,122000,1.08072,1.08097,1.08056,1.08097,0,0
EURUSD,5,20250331,122500,1.08108,1.08157,1.08108,1.08157,0,0
EURUSD,5,20250331,123000,1.08158,1.08175,1.08153,1.08171,0,0
EURUSD,5,20250331,123500,1.08165,1.08186,1.0814,1.0814,0,0
EURUSD,5,20250331,124000,1.08142,1.08148,1.08111,1.08117,0,0
EURUSD,5,20250331,124500,1.08118,1.08133,1.08101,1.08123,0,0
EURUSD,5,20250331,125000,1.08123,1.08173,1.08105,1.08173,0,0
EURUSD,5,20250331,125500,1.08173,1.0821,1.0817,1.08189,0,0
EURUSD,5,20250331,130000,1.08183,1.08238,1.08183,1.08238,0,0
EURUSD,5,20250331,130500,1.08239,1.08273,1.08222,1.08261,0,0
EURUSD,5,20250331,131000,1.0826,1.08294,1.08251,1.08263,0,0
EURUSD,5,20250331,131500,1.08262,1.08285,1.08177,1.08183,0,0
EURUSD,5,20250331,132000,1.08179,1.08212,1.08156,1.08207,0,0
EURUSD,5,20250331,132500,1.08207,1.08217,1.08187,1.0819,0,0
EURUSD,5,20250331,133000,1.08186,1.08227,1.08176,1.08223,0,0
EURUSD,5,20250331,133500,1.08231,1.08242,1.08211,1.08233,0,0
EURUSD,5,20250331,134000,1.08232,1.08268,1.0821,1.08268,0,0
EURUSD,5,20250331,134500,1.08267,1.08276,1.08223,1.08223,0,0
EURUSD,5,20250331,135000,1.08227,1.08252,1.0822,1.08247,0,0
EURUSD,5,20250331,135500,1.08246,1.08246,1.08195,1.08201,0,0
EURUSD,5,20250331,140000,1.08198,1.08209,1.08169,1.08197,0,0
EURUSD,5,20250331,140500,1.08197,1.08207,1.08152,1.08152,0,0
EURUSD,5,20250331,141000,1.08153,1.08169,1.08126,1.08162,0,0
EURUSD,5,20250331,141500,1.08161,1.08192,1.08156,1.08192,0,0
EURUSD,5,20250331,142000,1.08189,1.08189,1.08142,1.08154,0,0
EURUSD,5,20250331,142500,1.08154,1.08156,1.08107,1.08126,0,0
EURUSD,5,20250331,143000,1.08126,1.08136,1.08102,1.08125,0,0
EURUSD,5,20250331,143500,1.08115,1.08128,1.08092,1.08128,0,0
EURUSD,5,20250331,144000,1.08122,1.08122,1.08083,1.08093,0,0
EURUSD,5,20250331,144500,1.08088,1.08095,1.08049,1.08052,0,0
EURUSD,5,20250331,145000,1.08052,1.08052,1.08012,1.08026,0,0
EURUSD,5,20250331,145500,1.08028,1.08068,1.08028,1.08037,0,0
EURUSD,5,20250331,150000,1.08037,1.08083,1.08032,1.08083,0,0
EURUSD,5,20250331,150500,1.08089,1.08139,1.08088,1.08139,0,0
EURUSD,5,20250331,151000,1.08143,1.08157,1.08123,1.08128,0,0
EURUSD,5,20250331,151500,1.08128,1.08191,1.08128,1.08189,0,0
EURUSD,5,20250331,152000,1.08188,1.08213,1.08132,1.08153,0,0
EURUSD,5,20250331,152500,1.08156,1.08193,1.08153,1.08173,0,0
EURUSD,5,20250331,153000,1.08165,1.08197,1.08147,1.08176,0,0
EURUSD,5,20250331,153500,1.08166,1.0817,1.08104,1.08107,0,0
EURUSD,5,20250331,154000,1.08107,1.08142,1.08088,1.0813,0,0
EURUSD,5,20250331,154500,1.08131,1.08152,1.08102,1.08152,0,0
EURUSD,5,20250331,155000,1.08143,1.08152,1.08084,1.08088,0,0
EURUSD,5,20250331,155500,1.08087,1.08109,1.08077,1.08087,0,0
EURUSD,5,20250331,160000,1.08082,1.08083,1.07995,1.08013,0,0
EURUSD,5,20250331,160500,1.08012,1.08035,1.07965,1.08026,0,0
EURUSD,5,20250331,161000,1.08039,1.08074,1.08028,1.08035,0,0
EURUSD,5,20250331,161500,1.08038,1.08069,1.07993,1.07994,0,0
EURUSD,5,20250331,162000,1.08002,1.08045,1.07922,1.07924,0,0
