<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUUSD,5,20250321,030500,3036.37,3037,3035.78,3036.08,0,0
XAUUSD,5,20250321,031000,3036.35,3036.6,3035.06,3035.58,0,0
XAUUSD,5,20250321,031500,3035.61,3035.62,3034.4,3035.32,0,0
XAUUSD,5,20250321,032000,3035.33,3035.54,3034.35,3035.07,0,0
XAUUSD,5,20250321,032500,3034.79,3035.61,3034.62,3035.18,0,0
XAUUSD,5,20250321,033000,3035.36,3035.36,3034.03,3034.67,0,0
XAUUSD,5,20250321,033500,3034.56,3034.93,3034.06,3034.45,0,0
XAUUSD,5,20250321,034000,3034.54,3034.97,3034.24,3034.72,0,0
XAUUSD,5,20250321,034500,3034.49,3035.65,3034.04,3034.54,0,0
XAUUSD,5,20250321,035000,3034.42,3034.78,3034.19,3034.76,0,0
XAUUSD,5,20250321,035500,3034.75,3035.92,3034.59,3034.7,0,0
XAUUSD,5,20250321,040000,3034.61,3034.72,3032.79,3033.82,0,0
XAUUSD,5,20250321,040500,3033.96,3033.96,3031.63,3031.81,0,0
XAUUSD,5,20250321,041000,3031.97,3032.22,3031.34,3031.67,0,0
XAUUSD,5,20250321,041500,3031.68,3032.05,3031.14,3031.7,0,0
XAUUSD,5,20250321,042000,3031.58,3032.35,3031.43,3031.73,0,0
XAUUSD,5,20250321,042500,3031.52,3031.54,3030.47,3030.5,0,0
XAUUSD,5,20250321,043000,3030.71,3031.29,3030.45,3030.79,0,0
XAUUSD,5,20250321,043500,3030.81,3031.18,3030.12,3030.72,0,0
XAUUSD,5,20250321,044000,3030.69,3031.86,3030.69,3030.96,0,0
XAUUSD,5,20250321,044500,3030.9,3032.48,3030.9,3031.82,0,0
XAUUSD,5,20250321,045000,3031.9,3032.85,3031.29,3031.55,0,0
XAUUSD,5,20250321,045500,3031.32,3031.74,3030.38,3030.38,0,0
XAUUSD,5,20250321,050000,3030.55,3030.64,3029.28,3030.47,0,0
XAUUSD,5,20250321,050500,3030.5,3032.05,3030.24,3032.05,0,0
XAUUSD,5,20250321,051000,3032.01,3032.05,3030.86,3031.37,0,0
XAUUSD,5,20250321,051500,3031.37,3031.62,3030.18,3030.34,0,0
XAUUSD,5,20250321,052000,3030.18,3030.55,3029.98,3029.98,0,0
XAUUSD,5,20250321,052500,3030.11,3030.75,3030.04,3030.75,0,0
XAUUSD,5,20250321,053000,3030.74,3031.31,3030.45,3031.06,0,0
XAUUSD,5,20250321,053500,3031.17,3031.54,3030.79,3031.54,0,0
XAUUSD,5,20250321,054000,3031.52,3031.73,3031.24,3031.59,0,0
XAUUSD,5,20250321,054500,3031.56,3031.95,3030.87,3031,0,0
XAUUSD,5,20250321,055000,3031.16,3031.16,3028.09,3029.45,0,0
XAUUSD,5,20250321,055500,3029.36,3030.57,3029.36,3029.91,0,0
XAUUSD,5,20250321,060000,3029.86,3030.41,3029.64,3029.64,0,0
XAUUSD,5,20250321,060500,3029.6,3029.6,3028.52,3028.64,0,0
XAUUSD,5,20250321,061000,3028.24,3028.47,3027.21,3027.6,0,0
XAUUSD,5,20250321,061500,3027.69,3027.95,3027.14,3027.41,0,0
XAUUSD,5,20250321,062000,3027.49,3028.22,3027.2,3027.43,0,0
XAUUSD,5,20250321,062500,3027.26,3027.53,3027.04,3027.16,0,0
XAUUSD,5,20250321,063000,3027.23,3027.74,3026.08,3026.58,0,0
XAUUSD,5,20250321,063500,3026.57,3027.03,3026.01,3026.26,0,0
XAUUSD,5,20250321,064000,3026.18,3026.53,3021.74,3025.21,0,0
XAUUSD,5,20250321,064500,3024.89,3026.11,3024.36,3025.02,0,0
XAUUSD,5,20250321,065000,3024.84,3027.33,3024.84,3026.47,0,0
XAUUSD,5,20250321,065500,3026.56,3029.27,3026.56,3028.1,0,0
XAUUSD,5,20250321,070000,3028.06,3030.16,3027.59,3030.16,0,0
XAUUSD,5,20250321,070500,3030.19,3031.89,3030.19,3031.6,0,0
XAUUSD,5,20250321,071000,3031.81,3032.75,3030.17,3030.99,0,0
XAUUSD,5,20250321,071500,3031.17,3031.91,3030.76,3031.91,0,0
XAUUSD,5,20250321,072000,3031.75,3031.84,3031.1,3031.71,0,0
XAUUSD,5,20250321,072500,3031.52,3031.96,3031.16,3031.33,0,0
XAUUSD,5,20250321,073000,3031.37,3033.02,3031.27,3032.91,0,0
XAUUSD,5,20250321,073500,3033.2,3033.33,3032.75,3033.03,0,0
XAUUSD,5,20250321,074000,3033.08,3033.77,3031.63,3032.45,0,0
XAUUSD,5,20250321,074500,3032.61,3032.61,3028.49,3029.27,0,0
